,Title,Year,Metacritic,Internet Movie Database,Rotten Tomatoes,IMDB Votes
403,Scary Movie 4,2006,0.4,0.51,0.35,110024.0
404,Scooby-Doo and the Alien Invaders,2000,,0.6799999999999999,0.8,4955.0
405,The Shadow Men,1998,,0.45999999999999996,,993.0
406,Shazam!,2019,0.71,0.71,0.9,228554.0
407,A Shaun the Sheep Movie: Farmageddon,2019,0.79,0.6900000000000001,0.96,6118.0
408,The Signal,2014,0.54,0.61,0.61,60569.0
409,Signs,2002,0.59,0.67,0.74,326613.0
410,Silent Warnings,2003,,0.4,,1305.0
411,Skyline,2010,0.26,0.44000000000000006,0.16,85067.0
412,Slither,2006,0.69,0.64,0.86,71859.0
413,Solaris,1972,0.9,0.8099999999999999,0.95,74798.0
414,Solaris,2002,0.65,0.62,0.66,77199.0
415,Solo: A Star Wars Story,2018,0.62,0.6900000000000001,0.7,265446.0
416,Sonic the Hedgehog,2020,0.47,0.6599999999999999,0.64,50944.0
417,Spaceballs,1987,0.46,0.71,0.59,165356.0
418,Spaced Invaders,1990,,0.53,0.08,3167.0
419,Spacehunter: Adventures in the Forbidden Zone,1983,,0.55,0.25,5140.0
420,Space Invasion of Lapland,1959,,,,
421,Space Jam,1996,0.59,0.64,0.43,152969.0
422,Space Probe Taurus,1965,,0.38,,271.0
423,Space Travelers: The Animation,2000,,,,
424,Species,1995,0.49,0.58,0.43,71836.0
425,Species II,1998,0.19,0.44000000000000006,0.09,26488.0
426,Species III,2004,,0.42000000000000004,0.33,8644.0
427,Species – The Awakening,2007,,0.41,,6266.0
428,Spice World,1997,0.32,0.35,0.35,32466.0
429,Spider-Man: Far From Home,2019,0.69,0.75,0.91,279844.0
430,Spider-Man 3,2007,0.59,0.62,0.63,480601.0
431,Starcrash,1978,,0.4,0.29,5879.0
432,Stargate,1994,0.42,0.71,0.51,170232.0
433,Starman,1984,0.7,0.7,0.84,40775.0
434,Star Odyssey,1978,,0.25,,454.0
435,Starship Invasions,1977,,0.4,,574.0
436,Starship Troopers,1997,0.51,0.72,0.63,259026.0
437,Starship Troopers 2: Hero of the Federation,2004,,0.35,0.33,21404.0
438,Starship Troopers 3: Marauder,2008,,0.43,0.5,22062.0
439,Star Trek,2009,0.82,0.79,0.94,567267.0
440,Star Trek Beyond,2016,0.68,0.71,0.86,219183.0
441,Star Trek: First Contact,1996,0.71,0.76,0.93,114732.0
442,Star Trek Generations,1994,0.55,0.6599999999999999,0.5,73372.0
443,Star Trek: Insurrection,1998,0.64,0.64,0.55,68147.0
444,Star Trek Into Darkness,2013,0.72,0.77,0.84,454690.0
